invoice_date,total_quantity
2010-06-22,6235
2010-06-23,14643
2010-06-24,8589
2010-06-25,7867
2010-06-26,0
2010-06-27,10697
2010-06-28,14899
2010-06-29,19676
2010-06-30,15650
2010-07-01,6864
2010-07-02,5985
2010-07-03,0
2010-07-04,5344
2010-07-05,14534
2010-07-06,10659
2010-07-07,11544
2010-07-08,8978
2010-07-09,4905
2010-07-10,0
2010-07-11,5846
2010-07-12,0
2010-07-13,7967
2010-07-14,11587
2010-07-15,25220
2010-07-16,9756
2010-07-17,0
2010-07-18,8178
2010-07-19,13534
2010-07-20,10984
2010-07-21,11935
2010-07-22,13094
2010-07-23,11810
2010-07-24,0
2010-07-25,11257
2010-07-26,12089
2010-07-27,12405
2010-07-28,11957
2010-07-29,13469
2010-07-30,7839
2010-07-31,0
2010-08-01,9564
2010-08-02,11491
2010-08-03,14857
2010-08-04,10079
2010-08-05,61677
2010-08-06,9067
2010-08-07,0
2010-08-08,7657
2010-08-09,10270
2010-08-10,7315
2010-08-11,2937
2010-08-12,17662
2010-08-13,0
2010-08-14,0
2010-08-15,16187
2010-08-16,6859
2010-08-17,13401
2010-08-18,14039
2010-08-19,18635
2010-08-20,15613
2010-08-21,0
2010-08-22,12695
2010-08-23,10446
2010-08-24,16168
2010-08-25,15958
2010-08-26,14337
2010-08-27,6253
2010-08-28,0
2010-08-29,8789
2010-08-30,0
2010-08-31,11762
2010-09-01,6019
2010-09-02,14805
2010-09-03,30153
2010-09-04,0
2010-09-05,6189
2010-09-06,6996
2010-09-07,14220
2010-09-08,7943
2010-09-09,4418
2010-09-10,9720
2010-09-11,0
2010-09-12,7654
2010-09-13,26170
2010-09-14,9923
2010-09-15,11338
2010-09-16,9685
2010-09-17,9866
2010-09-18,0
2010-09-19,12579
2010-09-20,22206
2010-09-21,32349
2010-09-22,12015
2010-09-23,20953
2010-09-24,10969
2010-09-25,0
2010-09-26,12728
2010-09-27,119118
2010-09-28,21268
2010-09-29,19981
2010-09-30,20624
2010-10-01,17668
2010-10-02,0
2010-10-03,13215
2010-10-04,21325
2010-10-05,29395
2010-10-06,20406
2010-10-07,27609
2010-10-08,35131
2010-10-09,0
2010-10-10,10788
2010-10-11,19355
2010-10-12,26446
2010-10-13,24096
2010-10-14,27959
2010-10-15,17428
2010-10-16,0
2010-10-17,18272
2010-10-18,16300
2010-10-19,23059
2010-10-20,23006
2010-10-21,14226
2010-10-22,19195
2010-10-23,0
2010-10-24,14777
2010-10-25,13121
2010-10-26,19876
2010-10-27,11902
2010-10-28,5657
2010-10-29,22016
2010-10-30,0
2010-10-31,15778
2010-11-01,10429
2010-11-02,9875
2010-11-03,11197
2010-11-04,53983
2010-11-05,0
2010-11-06,0
2010-11-07,17244
2010-11-08,30177
2010-11-09,30582
2010-11-10,32312
2010-11-11,32357
2010-11-12,20120
2010-11-13,0
2010-11-14,16509
2010-11-15,34301
2010-11-16,27420
2010-11-17,22649
2010-11-18,19070
2010-11-19,19806
2010-11-20,0
2010-11-21,17001
2010-11-22,17423
2010-11-23,21081
2010-11-24,26155
2010-11-25,37218
2010-11-26,13684
2010-11-27,0
2010-11-28,15022
2010-11-29,22158
2010-11-30,19043
2010-12-01,47898
2010-12-02,41746
2010-12-03,20878
2010-12-04,0
2010-12-05,27208
2010-12-06,41338
2010-12-07,47538
2010-12-08,40172
2010-12-09,29090
2010-12-10,18273
2010-12-11,0
2010-12-12,8156
2010-12-13,17325
2010-12-14,19233
2010-12-15,18211
2010-12-16,28060
2010-12-17,8824
2010-12-18,0
2010-12-19,3303
2010-12-20,13714
2010-12-21,8100
2010-12-22,2350
2010-12-23,4618
2010-12-24,0
2010-12-25,0
2010-12-26,0
2010-12-27,0
2010-12-28,0
2010-12-29,0
2010-12-30,0
2010-12-31,0
2011-01-01,0
2011-01-02,0
2011-01-03,0
2011-01-04,7647
2011-01-05,17934
2011-01-06,17274
2011-01-07,12591
2011-01-08,0
2011-01-09,7377
2011-01-10,6911
2011-01-11,26297
2011-01-12,8622
2011-01-13,9266
2011-01-14,7303
2011-01-15,0
2011-01-16,4181
2011-01-17,12002
2011-01-18,6754
2011-01-19,7802
2011-01-20,6287
2011-01-21,8921
2011-01-22,0
2011-01-23,5068
2011-01-24,8825
2011-01-25,11873
2011-01-26,8692
2011-01-27,9171
2011-01-28,13647
2011-01-29,0
2011-01-30,3367
2011-01-31,9569
2011-02-01,13880
2011-02-02,8607
2011-02-03,16063
2011-02-04,10336
2011-02-05,0
2011-02-06,2048
2011-02-07,8168
2011-02-08,8701
2011-02-09,3427
2011-02-10,10765
2011-02-11,8952
2011-02-12,0
2011-02-13,2715
2011-02-14,10813
2011-02-15,10715
2011-02-16,13084
2011-02-17,13452
2011-02-18,7136
2011-02-19,0
2011-02-20,5346
2011-02-21,6832
2011-02-22,18518
2011-02-23,12391
2011-02-24,10945
2011-02-25,9690
2011-02-26,0
2011-02-27,4570
2011-02-28,8487
2011-03-01,8163
2011-03-02,8047
2011-03-03,7212
2011-03-04,11577
2011-03-05,0
2011-03-06,4989
2011-03-07,13377
2011-03-08,5387
2011-03-09,2833
2011-03-10,10652
2011-03-11,9529
2011-03-12,0
2011-03-13,2556
2011-03-14,10116
2011-03-15,7277
2011-03-16,11968
2011-03-17,18037
2011-03-18,12239
2011-03-19,0
2011-03-20,13277
2011-03-21,9983
2011-03-22,13201
2011-03-23,8311
2011-03-24,17003
2011-03-25,9966
2011-03-26,0
2011-03-27,4353
2011-03-28,9754
2011-03-29,19893
2011-03-30,17567
2011-03-31,12576
2011-04-01,16227
2011-04-02,0
2011-04-03,5660
2011-04-04,11750
2011-04-05,9747
2011-04-06,7935
2011-04-07,8348
2011-04-08,7535
2011-04-09,0
2011-04-10,5336
2011-04-11,11776
2011-04-12,14202
2011-04-13,17426
2011-04-14,15713
2011-04-15,11832
2011-04-16,0
2011-04-17,7628
2011-04-18,15671
2011-04-19,12307
2011-04-20,17547
2011-04-21,16565
2011-04-22,0
2011-04-23,0
2011-04-24,0
2011-04-25,0
2011-04-26,15285
2011-04-27,17098
2011-04-28,12078
2011-04-29,0
2011-04-30,0
2011-05-01,3167
2011-05-02,0
2011-05-03,10303
2011-05-04,14010
2011-05-05,15011
2011-05-06,17404
2011-05-07,0
2011-05-08,9469
2011-05-09,11730
2011-05-10,15449
2011-05-11,13794
2011-05-12,13576
2011-05-13,12240
2011-05-14,0
2011-05-15,4618
2011-05-16,11927
2011-05-17,17030
2011-05-18,17366
2011-05-19,15164
2011-05-20,13936
2011-05-21,0
2011-05-22,11470
2011-05-23,14457
2011-05-24,15307
2011-05-25,9639
2011-05-26,10147
2011-05-27,15563
2011-05-28,0
2011-05-29,3826
2011-05-30,0
2011-05-31,9849
2011-06-01,7410
2011-06-02,12725
2011-06-03,6742
2011-06-04,0
2011-06-05,10381
2011-06-06,7876
2011-06-07,17871
2011-06-08,16376
2011-06-09,27000
2011-06-10,4738
2011-06-11,0
2011-06-12,8421
2011-06-13,6752
2011-06-14,0
2011-06-15,10484
2011-06-16,16673
2011-06-17,9398
2011-06-18,0
2011-06-19,9856
2011-06-20,10869
2011-06-21,6804
2011-06-22,11492
2011-06-23,12970
2011-06-24,8291
2011-06-25,0
2011-06-26,3023
2011-06-27,9323
2011-06-28,8523
2011-06-29,8983
2011-06-30,19287
2011-07-01,5990
2011-07-02,0
2011-07-03,3106
2011-07-04,12516
2011-07-05,21128
2011-07-06,14747
2011-07-07,18047
2011-07-08,9716
2011-07-09,0
2011-07-10,4214
2011-07-11,13264
2011-07-12,12475
2011-07-13,9973
2011-07-14,12772
2011-07-15,6404
2011-07-16,0
2011-07-17,10675
2011-07-18,9908
2011-07-19,17236
2011-07-20,15806
2011-07-21,17944
2011-07-22,9007
2011-07-23,0
2011-07-24,16229
2011-07-25,13420
2011-07-26,13159
2011-07-27,9915
2011-07-28,24964
2011-07-29,10689
2011-07-30,0
2011-07-31,10825
2011-08-01,9124
2011-08-02,11789
2011-08-03,14653
2011-08-04,35656
2011-08-05,9960
2011-08-06,0
2011-08-07,5020
2011-08-08,11595
2011-08-09,7397
2011-08-10,12652
2011-08-11,23323
2011-08-12,8653
2011-08-13,0
2011-08-14,3134
2011-08-15,7163
2011-08-16,11052
2011-08-17,21800
2011-08-18,17442
2011-08-19,7953
2011-08-20,0
2011-08-21,6758
2011-08-22,14060
2011-08-23,11553
2011-08-24,27393
2011-08-25,10696
2011-08-26,10106
2011-08-27,0
2011-08-28,5970
2011-08-29,0
2011-08-30,10092
2011-08-31,4810
2011-09-01,22127
2011-09-02,8802
2011-09-03,0
2011-09-04,7552
2011-09-05,17250
2011-09-06,12993
2011-09-07,12697
2011-09-08,13213
2011-09-09,12445
2011-09-10,0
2011-09-11,20027
2011-09-12,17086
2011-09-13,27522
2011-09-14,7641
2011-09-15,27462
2011-09-16,14399
2011-09-17,0
2011-09-18,8966
2011-09-19,12015
2011-09-20,42212
2011-09-21,15807
2011-09-22,25854
2011-09-23,16501
2011-09-24,0
2011-09-25,18000
2011-09-26,13809
2011-09-27,20279
2011-09-28,21828
2011-09-29,24451
2011-09-30,17552
2011-10-01,0
2011-10-02,8380
2011-10-03,24500
2011-10-04,18304
2011-10-05,32884
2011-10-06,26808
2011-10-07,25657
2011-10-08,0
2011-10-09,7275
2011-10-10,22661
2011-10-11,13093
2011-10-12,13623
2011-10-13,13324
2011-10-14,14069
2011-10-15,0
2011-10-16,8311
2011-10-17,19325
2011-10-18,25043
2011-10-19,14974
2011-10-20,16297
2011-10-21,20318
2011-10-22,0
2011-10-23,7070
2011-10-24,20907
2011-10-25,22477
2011-10-26,18698
2011-10-27,24255
2011-10-28,17042
2011-10-29,0
2011-10-30,17656
2011-10-31,2661
2011-11-01,14758
2011-11-02,24463
2011-11-03,31841
2011-11-04,31177
2011-11-05,0
2011-11-06,18339
2011-11-07,25943
2011-11-08,24889
2011-11-09,35075
